x,f
0.0,0.010866
21482.168396470457,0.024927587078351392
26954.81436145059,0.016065965320456933
29653.9692298651,0.009110633847148391
30974.374063311894,0.008044375562012863
31630.104295297704,0.0077649582818809185
31712.17296401483,0.007739348110795552
31753.099882170536,0.007727070035348839
31773.51184357434,0.007720946446927698
31783.6921402379,0.00771826157195242
31784.96612607007,0.007718006774785986
31785.60205029575,0.00771787958994085
31785.919478959866,0.0077178161042080265
31785.939384820405,0.007717812123035919
31785.94187722049,0.0077178116245559016
31785.94436127153,0.007717811127745694
31785.949321052525,0.007717810135789495
31785.959224000224,0.007717808155199955
31785.998835902523,0.007717800232819496
31786.077927015045,0.007717784414596991
31786.235844300423,0.007717752831139915
31788.771027454943,0.007717245794509012
31793.829694218854,0.007715851091734344
31956.797457259352,0.00767464050854813
32282.230814143448,0.007614776918585656
43212.897407935576,0.04049691091351397
86400.0,0.007791
