Отчёт создан с помощью MIDE
Тип времени: UTC
Отчёт создан 22.09.2023 10:48:13.884
Временной интервал отчёта от 22.09.2023 09:00:00.000 до 24.09.2023 09:00:00.000
Отчёт создан в системе координат Earth/J2000
Время; dist.norm
22.09.2023 09:00:00.000; 10998.842689
22.09.2023 09:00:10.000; 11088.818198
22.09.2023 09:00:20.000; 11177.597783
22.09.2023 09:00:30.000; 11265.167854
22.09.2023 09:00:40.000; 11351.516146
22.09.2023 09:00:50.000; 11436.630624
22.09.2023 09:01:00.000; 11520.498468
22.09.2023 09:01:10.000; 11603.108129
22.09.2023 09:01:20.000; 11684.448275
22.09.2023 09:01:30.000; 11764.506827
22.09.2023 09:01:40.000; 11843.272923
22.09.2023 09:01:50.000; 11920.735906
22.09.2023 09:02:00.000; 11996.884416
22.09.2023 09:02:10.000; 12071.708552
22.09.2023 09:02:20.000; 12145.197418
22.09.2023 09:02:30.000; 12217.341249
22.09.2023 09:02:40.000; 12288.130474
22.09.2023 09:02:50.000; 12357.554887
22.09.2023 09:03:00.000; 12425.605360
22.09.2023 09:03:10.000; 12492.272952
22.09.2023 09:03:20.000; 12557.548137
22.09.2023 09:03:30.000; 12621.422411
22.09.2023 09:03:40.000; 12683.887454
22.09.2023 09:03:50.000; 12744.934412
22.09.2023 09:04:00.000; 12804.555394
22.09.2023 09:04:10.000; 12862.742697
22.09.2023 09:04:20.000; 12919.488128
22.09.2023 09:04:30.000; 12974.784407
22.09.2023 09:04:40.000; 13028.624438
22.09.2023 09:04:50.000; 13081.000687
22.09.2023 09:05:00.000; 13131.906480
22.09.2023 09:05:10.000; 13181.335324
22.09.2023 09:05:20.000; 13229.280342
22.09.2023 09:05:30.000; 13275.735459
22.09.2023 09:05:40.000; 13320.694785
22.09.2023 09:05:50.000; 13364.152094
22.09.2023 09:06:00.000; 13406.102079
22.09.2023 09:06:10.000; 13446.538950
22.09.2023 09:06:20.000; 13485.457630
22.09.2023 09:06:30.000; 13522.853226
22.09.2023 09:06:40.000; 13558.720599
22.09.2023 09:06:50.000; 13593.055271
22.09.2023 09:07:00.000; 13625.852942
22.09.2023 09:07:10.000; 13657.109126
22.09.2023 09:07:20.000; 13686.819941
22.09.2023 09:07:30.000; 13714.981683
22.09.2023 09:07:40.000; 13741.590517
22.09.2023 09:07:50.000; 13766.643155
22.09.2023 09:08:00.000; 13790.136490
22.09.2023 09:08:10.000; 13812.067337
22.09.2023 09:08:20.000; 13832.433004
22.09.2023 09:08:30.000; 13851.230978
22.09.2023 09:08:40.000; 13868.458726
22.09.2023 09:08:50.000; 13884.114150
22.09.2023 09:09:00.000; 13898.195333
22.09.2023 09:09:10.000; 13910.700394
22.09.2023 09:09:20.000; 13921.627829
22.09.2023 09:09:30.000; 13930.976315
22.09.2023 09:09:40.000; 13938.744622
22.09.2023 09:09:50.000; 13944.931865
