Отчёт создан с помощью MIDE
Тип времени: UTC
Отчёт создан 13.10.2023 11:11:57.552
Временной интервал отчёта от 13.10.2023 09:00:00.000 до 14.10.2023 09:00:00.000
Отчёт создан в системе координат Earth/TEME
Время; ka-facil.norm
13.10.2023 09:00:00.000; 12473.286956
13.10.2023 09:00:30.000; 12550.604413
13.10.2023 09:01:00.000; 12624.678220
13.10.2023 09:01:30.000; 12695.487433
13.10.2023 09:02:00.000; 12763.012108
13.10.2023 09:02:30.000; 12827.233300
13.10.2023 09:03:00.000; 12888.133062
13.10.2023 09:03:30.000; 12945.694440
13.10.2023 09:04:00.000; 12999.901470
13.10.2023 09:04:30.000; 13050.739180
13.10.2023 09:05:00.000; 13098.193578
13.10.2023 09:05:30.000; 13142.251656
13.10.2023 09:06:00.000; 13182.901436
13.10.2023 09:06:30.000; 13220.131754
13.10.2023 09:07:00.000; 13253.932580
13.10.2023 09:07:30.000; 13284.294795
13.10.2023 09:08:00.000; 13311.210243
13.10.2023 09:08:30.000; 13334.671726
13.10.2023 09:09:00.000; 13354.672999
13.10.2023 09:09:30.000; 13371.208767
13.10.2023 09:10:00.000; 13384.274680
13.10.2023 09:10:30.000; 13393.867328
13.10.2023 09:11:00.000; 13399.984238
13.10.2023 09:11:30.000; 13402.623866
13.10.2023 09:12:00.000; 13401.785596
13.10.2023 09:12:30.000; 13397.469732
13.10.2023 09:13:00.000; 13389.677497
13.10.2023 09:13:30.000; 13378.411024
13.10.2023 09:14:00.000; 13363.673355
13.10.2023 09:14:30.000; 13345.468434
13.10.2023 09:15:00.000; 13323.801104
13.10.2023 09:15:30.000; 13298.677102
13.10.2023 09:16:00.000; 13270.103055
13.10.2023 09:16:30.000; 13238.086474
13.10.2023 09:17:00.000; 13202.635703
13.10.2023 09:17:30.000; 13163.760107
13.10.2023 09:18:00.000; 13121.469785
13.10.2023 09:18:30.000; 13075.775750
13.10.2023 09:19:00.000; 13026.689882
13.10.2023 09:19:30.000; 12974.224923
13.10.2023 09:20:00.000; 12918.394474
13.10.2023 09:20:30.000; 12859.212992
13.10.2023 09:21:00.000; 12796.695788
13.10.2023 09:21:30.000; 12730.859021
13.10.2023 09:22:00.000; 12661.719700
13.10.2023 09:22:30.000; 12589.295677
13.10.2023 09:23:00.000; 12513.605647
13.10.2023 09:23:30.000; 12434.669143
13.10.2023 09:24:00.000; 12352.506540
13.10.2023 09:24:30.000; 12267.139044
13.10.2023 09:25:00.000; 12178.588696
13.10.2023 09:25:30.000; 12086.878370
13.10.2023 09:26:00.000; 11992.031767
13.10.2023 09:26:30.000; 11894.073419
13.10.2023 09:27:00.000; 11793.028682
13.10.2023 09:27:30.000; 11688.923738
13.10.2023 09:28:00.000; 11581.785591
13.10.2023 09:28:30.000; 11471.641918
13.10.2023 09:29:00.000; 11358.521659
13.10.2023 09:29:30.000; 11242.454135
13.10.2023 09:30:00.000; 11123.469629
13.10.2023 09:30:30.000; 11001.599238
13.10.2023 09:31:00.000; 10876.874877
13.10.2023 09:31:30.000; 10749.329275
13.10.2023 09:32:00.000; 10618.995972
13.10.2023 09:32:30.000; 10485.909322
13.10.2023 09:33:00.000; 10350.104491
13.10.2023 09:33:30.000; 10211.617457
13.10.2023 09:34:00.000; 10070.485009
13.10.2023 09:34:30.000; 9926.744747
13.10.2023 09:35:00.000; 9780.435087
13.10.2023 09:35:30.000; 9631.595254
13.10.2023 09:36:00.000; 9480.265296
13.10.2023 09:36:30.000; 9326.486075
13.10.2023 09:37:00.000; 9170.299279
13.10.2023 09:37:30.000; 9011.747424
13.10.2023 09:38:00.000; 8850.873862
13.10.2023 09:38:30.000; 8687.722786
13.10.2023 09:39:00.000; 8522.339246
13.10.2023 09:39:30.000; 8354.768932
13.10.2023 09:40:00.000; 8185.059095
13.10.2023 09:40:30.000; 8013.257215
13.10.2023 09:41:00.000; 7839.411924
13.10.2023 09:41:30.000; 7663.572811
13.10.2023 09:42:00.000; 7485.790462
13.10.2023 09:42:30.000; 7306.116498
13.10.2023 09:43:00.000; 7124.603632
13.10.2023 09:43:30.000; 6941.305736
13.10.2023 09:44:00.000; 6756.277913
13.10.2023 09:44:30.000; 6569.576601
13.10.2023 09:45:00.000; 6381.259682
13.10.2023 09:45:30.000; 6191.386632
13.10.2023 09:46:00.000; 6000.018690
13.10.2023 09:46:30.000; 5807.219078
13.10.2023 09:47:00.000; 5613.053262
13.10.2023 09:47:30.000; 5417.589285
13.10.2023 09:48:00.000; 5220.898178
13.10.2023 09:48:30.000; 5023.054476
13.10.2023 09:49:00.000; 4824.136870
13.10.2023 09:49:30.000; 4624.229038
13.10.2023 09:50:00.000; 4423.420716
13.10.2023 09:50:30.000; 4221.809078
13.10.2023 09:51:00.000; 4019.500276
13.10.2023 09:51:30.000; 3816.612927
13.10.2023 09:52:00.000; 3613.279695
13.10.2023 09:52:30.000; 3409.652737
13.10.2023 09:53:00.000; 3205.909446
13.10.2023 09:53:30.000; 3002.260861
13.10.2023 09:54:00.000; 2798.963649
13.10.2023 09:54:30.000; 2596.337502
13.10.2023 09:55:00.000; 2394.790895
13.10.2023 09:55:30.000; 2194.860105
13.10.2023 09:56:00.000; 1997.269637
13.10.2023 09:56:30.000; 1803.028005
13.10.2023 09:57:00.000; 1613.582703
13.10.2023 09:57:30.000; 1431.074478
13.10.2023 09:58:00.000; 1258.753164
13.10.2023 09:58:30.000; 1101.627418
13.10.2023 09:59:00.000; 967.328822
13.10.2023 09:59:30.000; 866.699989
13.10.2023 10:00:00.000; 812.465297
13.10.2023 10:00:30.000; 814.005933
13.10.2023 10:01:00.000; 871.020173
13.10.2023 10:01:30.000; 973.757408
13.10.2023 10:02:00.000; 1109.496667
13.10.2023 10:02:30.000; 1267.561046
13.10.2023 10:03:00.000; 1440.482213
13.10.2023 10:03:30.000; 1623.367276
13.10.2023 10:04:00.000; 1813.040730
13.10.2023 10:04:30.000; 2007.408501
13.10.2023 10:05:00.000; 2205.052707
13.10.2023 10:05:30.000; 2404.984097
13.10.2023 10:06:00.000; 2606.491101
